claim,evidence,label,claim_clean,evidence_clean,combined_text
Ly6C hi monocytes have a higher inflammatory capacity than Ly6C lo monocytes.,"In addition, acute peritoneal inflammation recruited preferentially Ly-6C(med-high) monocytes.",1,lyc hi monocyte higher inflammatory capacity lyc lo monocyte,addition acute peritoneal inflammation recruited preferentially lycmedhigh monocyte,lyc hi monocyte higher inflammatory capacity lyc lo monocyte addition acute peritoneal inflammation recruited preferentially lycmedhigh monocyte
Lysine histone demethylase inhibitor JIB 04 is inactive against KDM5A.,,0,lysine histone demethylase inhibitor jib inactive kdma,,lysine histone demethylase inhibitor jib inactive kdma 
M. stadtmanae does not induce ASC speck formation in BlaER1 monocytes.,,0,stadtmanae induce asc speck formation blaer monocyte,,stadtmanae induce asc speck formation blaer monocyte 
M. stadtmanae induces ASC speck formation in BlaER1 monocytes.,,0,stadtmanae induces asc speck formation blaer monocyte,,stadtmanae induces asc speck formation blaer monocyte 
MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,"However, when NVP-BEZ235 was combined with a mitogen-activated protein kinase kinase (MEK) inhibitor, ARRY-142886, there was marked synergy in shrinking these Kras-mutant cancers.",1,mek inhibitor effective treatment rasdriven mouse model cancer,however nvpbez combined mitogenactivated protein kinase kinase mek inhibitor arry marked synergy shrinking krasmutant cancer,mek inhibitor effective treatment rasdriven mouse model cancer however nvpbez combined mitogenactivated protein kinase kinase mek inhibitor arry marked synergy shrinking krasmutant cancer
MFGE8 regulates fat absorption by binding to av-Beta3 and av-Beta5 integrins.,"Mechanistically, we found that Mfge8 coordinates fatty acid uptake through αvβ3 integrin– and αvβ5 integrin–dependent phosphorylation of Akt by phosphatidylinositide-3 kinase and mTOR complex 2, leading to translocation of Cd36 and Fatp1 from cytoplasmic vesicles to the cell surface.",1,mfge regulates fat absorption binding avbeta avbeta integrins,mechanistically found mfge coordinate fatty acid uptake αvβ integrin αvβ integrindependent phosphorylation akt phosphatidylinositide kinase mtor complex leading translocation cd fatp cytoplasmic vesicle cell surface,mfge regulates fat absorption binding avbeta avbeta integrins mechanistically found mfge coordinate fatty acid uptake αvβ integrin αvβ integrindependent phosphorylation akt phosphatidylinositide kinase mtor complex leading translocation cd fatp cytoplasmic vesicle cell surface
MICAL redox enzymes regulate actin dynamics in many cell types.,"Instead of being integrated into a regular sarcomeric pattern, actin and myosin filaments are disorganized and accumulate beneath the plasmamembrane.",1,mical redox enzyme regulate actin dynamic many cell type,instead integrated regular sarcomeric pattern actin myosin filament disorganized accumulate beneath plasmamembrane,mical redox enzyme regulate actin dynamic many cell type instead integrated regular sarcomeric pattern actin myosin filament disorganized accumulate beneath plasmamembrane
MICAL redox enzymes regulate actin dynamics in many cell types.,Transgenic expression of interfering RNA molecules demonstrates that MICAL is required in muscles for the higher order arrangement of myofilaments.,1,mical redox enzyme regulate actin dynamic many cell type,transgenic expression interfering rna molecule demonstrates mical required muscle higher order arrangement myofilaments,mical redox enzyme regulate actin dynamic many cell type transgenic expression interfering rna molecule demonstrates mical required muscle higher order arrangement myofilaments
MICAL redox enzymes regulate actin dynamics in many cell types.,"In this study we show that in non-neural cells human MICALs are required for normal actin organization, and all three MICALs regulate actin stress fibers.",1,mical redox enzyme regulate actin dynamic many cell type,study show nonneural cell human micals required normal actin organization three micals regulate actin stress fiber,mical redox enzyme regulate actin dynamic many cell type study show nonneural cell human micals required normal actin organization three micals regulate actin stress fiber
MICAL redox enzymes regulate actin dynamics.,"Consistent with high expression of MICAL in somatic muscles, immunohistochemical stainings reveal that the subcellular localization and architecture of contractile muscle filaments are dramatically disturbed in mical mutants.",1,mical redox enzyme regulate actin dynamic,consistent high expression mical somatic muscle immunohistochemical staining reveal subcellular localization architecture contractile muscle filament dramatically disturbed mical mutant,mical redox enzyme regulate actin dynamic consistent high expression mical somatic muscle immunohistochemical staining reveal subcellular localization architecture contractile muscle filament dramatically disturbed mical mutant
MICAL redox enzymes regulate actin dynamics.,Transgenic expression of interfering RNA molecules demonstrates that MICAL is required in muscles for the higher order arrangement of myofilaments.,1,mical redox enzyme regulate actin dynamic,transgenic expression interfering rna molecule demonstrates mical required muscle higher order arrangement myofilaments,mical redox enzyme regulate actin dynamic transgenic expression interfering rna molecule demonstrates mical required muscle higher order arrangement myofilaments
MICAL redox enzymes regulate actin dynamics.,"In this study we show that in non-neural cells human MICALs are required for normal actin organization, and all three MICALs regulate actin stress fibers.",1,mical redox enzyme regulate actin dynamic,study show nonneural cell human micals required normal actin organization three micals regulate actin stress fiber,mical redox enzyme regulate actin dynamic study show nonneural cell human micals required normal actin organization three micals regulate actin stress fiber
MICAL redox enzymes regulate actin dynamics.,"Moreover, we provide evidence that the generation of reactive oxygen species by MICAL proteins is crucial for their actin-regulatory function.",1,mical redox enzyme regulate actin dynamic,moreover provide evidence generation reactive oxygen specie mical protein crucial actinregulatory function,mical redox enzyme regulate actin dynamic moreover provide evidence generation reactive oxygen specie mical protein crucial actinregulatory function
MICAL redox enzymes regulate actin dynamics.,These data suggest differential but complementary roles for MICAL1 and MICAL2 in actin microfilament regulation.,1,mical redox enzyme regulate actin dynamic,data suggest differential complementary role mical mical actin microfilament regulation,mical redox enzyme regulate actin dynamic data suggest differential complementary role mical mical actin microfilament regulation
MICAL redox enzymes regulate actin dynamics.,"Sema3A stimulation generated hydrogen peroxide (H2O2) through MICAL (molecule interacting with CasL) and oxidized CRMP2, enabling it to form a disulfide-linked homodimer through cysteine-504.",1,mical redox enzyme regulate actin dynamic,semaa stimulation generated hydrogen peroxide ho mical molecule interacting casl oxidized crmp enabling form disulfidelinked homodimer cysteine,mical redox enzyme regulate actin dynamic semaa stimulation generated hydrogen peroxide ho mical molecule interacting casl oxidized crmp enabling form disulfidelinked homodimer cysteine
MICAL redox enzymes regulate actin dynamics.,"Oxidized CRMP2 then formed a transient disulfide-linked complex with TRX, which stimulated CRMP2 phosphorylation by glycogen synthase kinase-3, leading to growth cone collapse.",1,mical redox enzyme regulate actin dynamic,oxidized crmp formed transient disulfidelinked complex trx stimulated crmp phosphorylation glycogen synthase kinase leading growth cone collapse,mical redox enzyme regulate actin dynamic oxidized crmp formed transient disulfidelinked complex trx stimulated crmp phosphorylation glycogen synthase kinase leading growth cone collapse
MICAL redox enzymes regulate actin dynamics.,Our results not only clarify the importance of H2O2 and CRMP2 oxidation in Sema3A-induced growth cone collapse but also indicate an unappreciated role for TRX in linking CRMP2 oxidation to phosphorylation.,1,mical redox enzyme regulate actin dynamic,result clarify importance ho crmp oxidation semaainduced growth cone collapse also indicate unappreciated role trx linking crmp oxidation phosphorylation,mical redox enzyme regulate actin dynamic result clarify importance ho crmp oxidation semaainduced growth cone collapse also indicate unappreciated role trx linking crmp oxidation phosphorylation
MT binding domain drives amyloid structure formation.,,0,mt binding domain drive amyloid structure formation,,mt binding domain drive amyloid structure formation 
MUC1-C activates the NF-κB p65 signaling pathway by interacting with IκB kinase ß.,"These findings indicate that MUC1 is important for physiological activation of IKKβ and that overexpression of MUC1, as found in human cancers, confers sustained induction of the IKKβ–NF-κB p65 pathway.",1,mucc activates nfκb p signaling pathway interacting iκb kinase ß,finding indicate muc important physiological activation ikkβ overexpression muc found human cancer confers sustained induction ikkβnfκb p pathway,mucc activates nfκb p signaling pathway interacting iκb kinase ß finding indicate muc important physiological activation ikkβ overexpression muc found human cancer confers sustained induction ikkβnfκb p pathway
MafA phosphorylation decreases its ubiquitination.,"We also demonstrate that GSK-3 triggers MafA sequential phosphorylation on residues S61, T57, T53, and S49, inducing its ubiquitination and degradation.",0,mafa phosphorylation decrease ubiquitination,also demonstrate gsk trigger mafa sequential phosphorylation residue inducing ubiquitination degradation,mafa phosphorylation decrease ubiquitination also demonstrate gsk trigger mafa sequential phosphorylation residue inducing ubiquitination degradation
MafA phosphorylation enhances its ubiquitination.,"We also demonstrate that GSK-3 triggers MafA sequential phosphorylation on residues S61, T57, T53, and S49, inducing its ubiquitination and degradation.",1,mafa phosphorylation enhances ubiquitination,also demonstrate gsk trigger mafa sequential phosphorylation residue inducing ubiquitination degradation,mafa phosphorylation enhances ubiquitination also demonstrate gsk trigger mafa sequential phosphorylation residue inducing ubiquitination degradation
MafA ubiquitination decreases the recruitment of coavtivator P/CAF by MafA.,"Paradoxically, this phosphorylation increases MafA-transcriptional activity through the recruitment of the coactivator P/CAF.",0,mafa ubiquitination decrease recruitment coavtivator pcaf mafa,paradoxically phosphorylation increase mafatranscriptional activity recruitment coactivator pcaf,mafa ubiquitination decrease recruitment coavtivator pcaf mafa paradoxically phosphorylation increase mafatranscriptional activity recruitment coactivator pcaf
MafA ubiquitination increases the recruitment of coavtivator P/CAF by MafA.,"Paradoxically, this phosphorylation increases MafA-transcriptional activity through the recruitment of the coactivator P/CAF.",1,mafa ubiquitination increase recruitment coavtivator pcaf mafa,paradoxically phosphorylation increase mafatranscriptional activity recruitment coactivator pcaf,mafa ubiquitination increase recruitment coavtivator pcaf mafa paradoxically phosphorylation increase mafatranscriptional activity recruitment coactivator pcaf
Major antigen-induced signals from the T cell receptor and secondary signals from costimulatory receptors are required for T cell activation.,Ligation of the CD28 receptor on T cells provides a critical second signal alongside T cell receptor (TCR) ligation for naive T cell activation.,1,major antigeninduced signal cell receptor secondary signal costimulatory receptor required cell activation,ligation cd receptor cell provides critical second signal alongside cell receptor tcr ligation naive cell activation,major antigeninduced signal cell receptor secondary signal costimulatory receptor required cell activation ligation cd receptor cell provides critical second signal alongside cell receptor tcr ligation naive cell activation
Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,"Knockout of MVP leads to miR-193a accumulation in the exosomal donor cells instead of exosomes, inhibiting tumour progression.",1,major vault protein mvp lead aggressive tumor regulating sorting tumor suppressive mira extracellular vesicle ev,knockout mvp lead mira accumulation exosomal donor cell instead exosomes inhibiting tumour progression,major vault protein mvp lead aggressive tumor regulating sorting tumor suppressive mira extracellular vesicle ev knockout mvp lead mira accumulation exosomal donor cell instead exosomes inhibiting tumour progression
Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,"In summary, our data demonstrate that MVP-mediated selective sorting of tumour suppressor miRNA into exosomes promotes tumour progression.",1,major vault protein mvp lead aggressive tumor regulating sorting tumor suppressive mira extracellular vesicle ev,summary data demonstrate mvpmediated selective sorting tumour suppressor mirna exosomes promotes tumour progression,major vault protein mvp lead aggressive tumor regulating sorting tumor suppressive mira extracellular vesicle ev summary data demonstrate mvpmediated selective sorting tumour suppressor mirna exosomes promotes tumour progression
Major vault protein regulates sorting of tumor suppressive miR-193a into EVs.,"Knockout of MVP leads to miR-193a accumulation in the exosomal donor cells instead of exosomes, inhibiting tumour progression.",1,major vault protein regulates sorting tumor suppressive mira ev,knockout mvp lead mira accumulation exosomal donor cell instead exosomes inhibiting tumour progression,major vault protein regulates sorting tumor suppressive mira ev knockout mvp lead mira accumulation exosomal donor cell instead exosomes inhibiting tumour progression
Malaria has a high vectorial capacity.,,0,malaria high vectorial capacity,,malaria high vectorial capacity 
Many cytokines that are produced by cancer cells also contribute to carcinogenesis.,,0,many cytokine produced cancer cell also contribute carcinogenesis,,many cytokine produced cancer cell also contribute carcinogenesis 
Many transmembrane receptors transmit signals by long-range conformational changes in the association of alpha-helices across the plasma membrane.,,0,many transmembrane receptor transmit signal longrange conformational change association alphahelices across plasma membrane,,many transmembrane receptor transmit signal longrange conformational change association alphahelices across plasma membrane 
Marmosets have a brain region homologous to Broca's area.,,0,marmoset brain region homologous broca area,,marmoset brain region homologous broca area 
Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have only a modest impact in reducing malaria transmission.,"An efficacious antimalarial regimen with no specific gametocytocidal properties but a long prophylactic time was estimated to be more effective at reducing transmission than a short-acting ACT in the highest-transmission setting.   
",1,mathematical model predict using artemisininbased combination therapy nongametocytocidal drug modest impact reducing malaria transmission,efficacious antimalarial regimen specific gametocytocidal property long prophylactic time estimated effective reducing transmission shortacting act highesttransmission setting,mathematical model predict using artemisininbased combination therapy nongametocytocidal drug modest impact reducing malaria transmission efficacious antimalarial regimen specific gametocytocidal property long prophylactic time estimated effective reducing transmission shortacting act highesttransmission setting
MeCP2 influences the synaptic maturation of neurons.,,0,mecp influence synaptic maturation neuron,,mecp influence synaptic maturation neuron 
Measuring routine outcomes is more beneficial to clinical practice than assessing treatment adherence.,,0,measuring routine outcome beneficial clinical practice assessing treatment adherence,,measuring routine outcome beneficial clinical practice assessing treatment adherence 
Medications to treat obesity are highly effective.,"Compared with placebo, orlistat reduced weight by 2.9 kg (95% confidence interval 2.5 kg to 3.2 kg), sibutramine by 4.2 kg (3.6 kg to 4.7 kg), and rimonabant by 4.7 kg (4.1 kg to 5.3 kg).",0,medication treat obesity highly effective,compared placebo orlistat reduced weight kg confidence interval kg kg sibutramine kg kg kg rimonabant kg kg kg,medication treat obesity highly effective compared placebo orlistat reduced weight kg confidence interval kg kg sibutramine kg kg kg rimonabant kg kg kg
Medications to treat obesity are highly effective.,"CONCLUSIONS Orlistat, sibutramine, and rimonabant modestly reduce weight, have differing effects on cardiovascular risk profiles, and have specific adverse effects.",0,medication treat obesity highly effective,conclusion orlistat sibutramine rimonabant modestly reduce weight differing effect cardiovascular risk profile specific adverse effect,medication treat obesity highly effective conclusion orlistat sibutramine rimonabant modestly reduce weight differing effect cardiovascular risk profile specific adverse effect
Medications to treat obesity do not have side effects.,"Orlistat reduced the incidence of diabetes and improved concentrations of total cholesterol and low density lipoprotein cholesterol, blood pressure, and glycaemic control in patients with diabetes but increased rates of gastrointestinal side effects and slightly lowered concentrations of high density lipoprotein.",0,medication treat obesity side effect,orlistat reduced incidence diabetes improved concentration total cholesterol low density lipoprotein cholesterol blood pressure glycaemic control patient diabetes increased rate gastrointestinal side effect slightly lowered concentration high density lipoprotein,medication treat obesity side effect orlistat reduced incidence diabetes improved concentration total cholesterol low density lipoprotein cholesterol blood pressure glycaemic control patient diabetes increased rate gastrointestinal side effect slightly lowered concentration high density lipoprotein
Medications to treat obesity do not have side effects.,"Sibutramine improved [corrected] concentrations of high density lipoprotein cholesterol and triglycerides [corrected] Rimonabant improved concentrations of high density lipoprotein cholesterol and triglycerides, blood pressure, and glycaemic control in patients with diabetes but increased the risk of mood disorders.   
",0,medication treat obesity side effect,sibutramine improved corrected concentration high density lipoprotein cholesterol triglyceride corrected rimonabant improved concentration high density lipoprotein cholesterol triglyceride blood pressure glycaemic control patient diabetes increased risk mood disorder,medication treat obesity side effect sibutramine improved corrected concentration high density lipoprotein cholesterol triglyceride corrected rimonabant improved concentration high density lipoprotein cholesterol triglyceride blood pressure glycaemic control patient diabetes increased risk mood disorder
Medications to treat obesity do not have side effects.,"CONCLUSIONS Orlistat, sibutramine, and rimonabant modestly reduce weight, have differing effects on cardiovascular risk profiles, and have specific adverse effects.",0,medication treat obesity side effect,conclusion orlistat sibutramine rimonabant modestly reduce weight differing effect cardiovascular risk profile specific adverse effect,medication treat obesity side effect conclusion orlistat sibutramine rimonabant modestly reduce weight differing effect cardiovascular risk profile specific adverse effect
Medications to treat obesity have unwanted side effects.,"Orlistat reduced the incidence of diabetes and improved concentrations of total cholesterol and low density lipoprotein cholesterol, blood pressure, and glycaemic control in patients with diabetes but increased rates of gastrointestinal side effects and slightly lowered concentrations of high density lipoprotein.",1,medication treat obesity unwanted side effect,orlistat reduced incidence diabetes improved concentration total cholesterol low density lipoprotein cholesterol blood pressure glycaemic control patient diabetes increased rate gastrointestinal side effect slightly lowered concentration high density lipoprotein,medication treat obesity unwanted side effect orlistat reduced incidence diabetes improved concentration total cholesterol low density lipoprotein cholesterol blood pressure glycaemic control patient diabetes increased rate gastrointestinal side effect slightly lowered concentration high density lipoprotein
Medications to treat obesity have unwanted side effects.,"Sibutramine improved [corrected] concentrations of high density lipoprotein cholesterol and triglycerides [corrected] Rimonabant improved concentrations of high density lipoprotein cholesterol and triglycerides, blood pressure, and glycaemic control in patients with diabetes but increased the risk of mood disorders.   
",1,medication treat obesity unwanted side effect,sibutramine improved corrected concentration high density lipoprotein cholesterol triglyceride corrected rimonabant improved concentration high density lipoprotein cholesterol triglyceride blood pressure glycaemic control patient diabetes increased risk mood disorder,medication treat obesity unwanted side effect sibutramine improved corrected concentration high density lipoprotein cholesterol triglyceride corrected rimonabant improved concentration high density lipoprotein cholesterol triglyceride blood pressure glycaemic control patient diabetes increased risk mood disorder
Medications to treat obesity have unwanted side effects.,"CONCLUSIONS Orlistat, sibutramine, and rimonabant modestly reduce weight, have differing effects on cardiovascular risk profiles, and have specific adverse effects.",1,medication treat obesity unwanted side effect,conclusion orlistat sibutramine rimonabant modestly reduce weight differing effect cardiovascular risk profile specific adverse effect,medication treat obesity unwanted side effect conclusion orlistat sibutramine rimonabant modestly reduce weight differing effect cardiovascular risk profile specific adverse effect
Men are more susceptible to death due to pneumonia when compared to women.,"CONCLUSIONS Although gender may not be predictive of mortality among all infections, women appear to be at increased risk for death from hospital-acquired pneumonia, even after controlling for other comorbidities.",0,men susceptible death due pneumonia compared woman,conclusion although gender may predictive mortality among infection woman appear increased risk death hospitalacquired pneumonia even controlling comorbidities,men susceptible death due pneumonia compared woman conclusion although gender may predictive mortality among infection woman appear increased risk death hospitalacquired pneumonia even controlling comorbidities
Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,"On balance, a combination including oxaliplatin was preferable to single-agent fluoropyrimidines, although the primary endpoint of PFS was not met.",0,metastatic colorectal cancer treated single agent fluoropyrimidines resulted similar efficacy better quality life compared oxaliplatinbased chemotherapy elderly patient,balance combination including oxaliplatin preferable singleagent fluoropyrimidines although primary endpoint pfs met,metastatic colorectal cancer treated single agent fluoropyrimidines resulted similar efficacy better quality life compared oxaliplatinbased chemotherapy elderly patient balance combination including oxaliplatin preferable singleagent fluoropyrimidines although primary endpoint pfs met
Mice are incapable of producing neutralizing antibodies in reponse to the Chikungunya virus (CHIKV) produced in mosquitos.,A single dose of EILV/CHIKV produced in mosquito cells elicited rapid (within 4 d) and long-lasting (>290 d) neutralizing antibodies that provided complete protection in two different mouse models.,0,mouse incapable producing neutralizing antibody reponse chikungunya virus chikv produced mosquito,single dose eilvchikv produced mosquito cell elicited rapid within longlasting neutralizing antibody provided complete protection two different mouse model,mouse incapable producing neutralizing antibody reponse chikungunya virus chikv produced mosquito single dose eilvchikv produced mosquito cell elicited rapid within longlasting neutralizing antibody provided complete protection two different mouse model
Mice defective for deoxyribonucleic acid (DNA) polymerase I (polI) fail to reveal increased sensitivity to ionizing radiation (IR).,,0,mouse defective deoxyribonucleic acid dna polymerase poli fail reveal increased sensitivity ionizing radiation ir,,mouse defective deoxyribonucleic acid dna polymerase poli fail reveal increased sensitivity ionizing radiation ir 
Mice defective for deoxyribonucleic acid (DNA) polymerase m (polm) fail to reveal increased sensitivity to ionizing radiation (IR).,,0,mouse defective deoxyribonucleic acid dna polymerase polm fail reveal increased sensitivity ionizing radiation ir,,mouse defective deoxyribonucleic acid dna polymerase polm fail reveal increased sensitivity ionizing radiation ir 
Mice defective for deoxyribonucleic acid (DNA) polymerase m (polm) reveal increased sensitivity to ionizing radiation (IR).,,0,mouse defective deoxyribonucleic acid dna polymerase polm reveal increased sensitivity ionizing radiation ir,,mouse defective deoxyribonucleic acid dna polymerase polm reveal increased sensitivity ionizing radiation ir 
Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.,"Here, we show that mice lacking SIRT1 in steroidogenic factor 1 (SF1) neurons are hypersensitive to dietary obesity owing to maladaptive energy expenditure.",0,mouse lacking sirt sfexpressing neuron immune dietinduced obesity insulin resistance,show mouse lacking sirt steroidogenic factor sf neuron hypersensitive dietary obesity owing maladaptive energy expenditure,mouse lacking sirt sfexpressing neuron immune dietinduced obesity insulin resistance show mouse lacking sirt steroidogenic factor sf neuron hypersensitive dietary obesity owing maladaptive energy expenditure
Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.,"Also, mutant mice have increased susceptibility to developing dietary T2DM due to insulin resistance in skeletal muscle.",0,mouse lacking sirt sfexpressing neuron immune dietinduced obesity insulin resistance,also mutant mouse increased susceptibility developing dietary tdm due insulin resistance skeletal muscle,mouse lacking sirt sfexpressing neuron immune dietinduced obesity insulin resistance also mutant mouse increased susceptibility developing dietary tdm due insulin resistance skeletal muscle
Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.,"Conversely, mice overexpressing SIRT1 in SF1 neurons are more resistant to diet-induced obesity and insulin resistance due to increased energy expenditure and enhanced skeletal muscle insulin sensitivity.",0,mouse lacking sirt sfexpressing neuron immune dietinduced obesity insulin resistance,conversely mouse overexpressing sirt sf neuron resistant dietinduced obesity insulin resistance due increased energy expenditure enhanced skeletal muscle insulin sensitivity,mouse lacking sirt sfexpressing neuron immune dietinduced obesity insulin resistance conversely mouse overexpressing sirt sf neuron resistant dietinduced obesity insulin resistance due increased energy expenditure enhanced skeletal muscle insulin sensitivity
Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,"Here, we show that mice lacking SIRT1 in steroidogenic factor 1 (SF1) neurons are hypersensitive to dietary obesity owing to maladaptive energy expenditure.",1,mouse lacking sirt sfexpressing neuron increased susceptibility dietinduced obesity insulin resistance,show mouse lacking sirt steroidogenic factor sf neuron hypersensitive dietary obesity owing maladaptive energy expenditure,mouse lacking sirt sfexpressing neuron increased susceptibility dietinduced obesity insulin resistance show mouse lacking sirt steroidogenic factor sf neuron hypersensitive dietary obesity owing maladaptive energy expenditure
Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,"Also, mutant mice have increased susceptibility to developing dietary T2DM due to insulin resistance in skeletal muscle.",1,mouse lacking sirt sfexpressing neuron increased susceptibility dietinduced obesity insulin resistance,also mutant mouse increased susceptibility developing dietary tdm due insulin resistance skeletal muscle,mouse lacking sirt sfexpressing neuron increased susceptibility dietinduced obesity insulin resistance also mutant mouse increased susceptibility developing dietary tdm due insulin resistance skeletal muscle
Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,"Conversely, mice overexpressing SIRT1 in SF1 neurons are more resistant to diet-induced obesity and insulin resistance due to increased energy expenditure and enhanced skeletal muscle insulin sensitivity.",1,mouse lacking sirt sfexpressing neuron increased susceptibility dietinduced obesity insulin resistance,conversely mouse overexpressing sirt sf neuron resistant dietinduced obesity insulin resistance due increased energy expenditure enhanced skeletal muscle insulin sensitivity,mouse lacking sirt sfexpressing neuron increased susceptibility dietinduced obesity insulin resistance conversely mouse overexpressing sirt sf neuron resistant dietinduced obesity insulin resistance due increased energy expenditure enhanced skeletal muscle insulin sensitivity
Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,Lack of IFN-gamma due to either depletion with an antibody or a genetic deficiency exacerbated myocarditis.,1,mouse lack interferonγ receptor highly susceptible experimental autoimmune myocarditis,lack ifngamma due either depletion antibody genetic deficiency exacerbated myocarditis,mouse lack interferonγ receptor highly susceptible experimental autoimmune myocarditis lack ifngamma due either depletion antibody genetic deficiency exacerbated myocarditis
Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,"In contrast, IFN-gamma plays a protective role.",1,mouse lack interferonγ receptor highly susceptible experimental autoimmune myocarditis,contrast ifngamma play protective role,mouse lack interferonγ receptor highly susceptible experimental autoimmune myocarditis contrast ifngamma play protective role
Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,METHODS AND RESULTS We showed that IFN-gamma receptor-deficient mice (IFN-gammaR(-/-)) on a BALB/c background immunized with a peptide derived from cardiac alpha-myosin heavy chain develop severe myocarditis with high mortality.,1,mouse lack interferonγ receptor highly susceptible experimental autoimmune myocarditis,method result showed ifngamma receptordeficient mouse ifngammar balbc background immunized peptide derived cardiac alphamyosin heavy chain develop severe myocarditis high mortality,mouse lack interferonγ receptor highly susceptible experimental autoimmune myocarditis method result showed ifngamma receptordeficient mouse ifngammar balbc background immunized peptide derived cardiac alphamyosin heavy chain develop severe myocarditis high mortality
Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,"Although myocarditis subsided in wild-type mice after 3 weeks, IFN-gammaR(-/-) mice showed persistent disease.",1,mouse lack interferonγ receptor highly susceptible experimental autoimmune myocarditis,although myocarditis subsided wildtype mouse week ifngammar mouse showed persistent disease,mouse lack interferonγ receptor highly susceptible experimental autoimmune myocarditis although myocarditis subsided wildtype mouse week ifngammar mouse showed persistent disease
Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,CONCLUSIONS Our data provide evidence that IFN-gamma protects mice from lethal autoimmune myocarditis by inducing the expression of inducible nitric oxide synthase followed by the downregulation of T-cell responses.,1,mouse lack interferonγ receptor highly susceptible experimental autoimmune myocarditis,conclusion data provide evidence ifngamma protects mouse lethal autoimmune myocarditis inducing expression inducible nitric oxide synthase followed downregulation tcell response,mouse lack interferonγ receptor highly susceptible experimental autoimmune myocarditis conclusion data provide evidence ifngamma protects mouse lethal autoimmune myocarditis inducing expression inducible nitric oxide synthase followed downregulation tcell response
Mice without IFN-γ or its receptor are highly susceptible to EAM induced with α-MyHC/CFA.,Lack of IFN-gamma due to either depletion with an antibody or a genetic deficiency exacerbated myocarditis.,1,mouse without ifnγ receptor highly susceptible eam induced αmyhccfa,lack ifngamma due either depletion antibody genetic deficiency exacerbated myocarditis,mouse without ifnγ receptor highly susceptible eam induced αmyhccfa lack ifngamma due either depletion antibody genetic deficiency exacerbated myocarditis
Mice without IFN-γ or its receptor are highly susceptible to EAM induced with α-MyHC/CFA.,"In contrast, IFN-gamma plays a protective role.",1,mouse without ifnγ receptor highly susceptible eam induced αmyhccfa,contrast ifngamma play protective role,mouse without ifnγ receptor highly susceptible eam induced αmyhccfa contrast ifngamma play protective role
Microcin J25 encourages nucleoside triphosphate (NTP) binding.,Biochemical results indicate that inhibition of transcription occurs at the level of NTP uptake or NTP binding by RNAP.,0,microcin j encourages nucleoside triphosphate ntp binding,biochemical result indicate inhibition transcription occurs level ntp uptake ntp binding rnap,microcin j encourages nucleoside triphosphate ntp binding biochemical result indicate inhibition transcription occurs level ntp uptake ntp binding rnap
Microcin J25 inhibits nucleoside triphosphate (NTP) binding.,Biochemical results indicate that inhibition of transcription occurs at the level of NTP uptake or NTP binding by RNAP.,1,microcin j inhibits nucleoside triphosphate ntp binding,biochemical result indicate inhibition transcription occurs level ntp uptake ntp binding rnap,microcin j inhibits nucleoside triphosphate ntp binding biochemical result indicate inhibition transcription occurs level ntp uptake ntp binding rnap
Microglia are an innate immune cell type of the central nervous system.,These physiological functions of microglia in the normal CNS begin during development and persist into maturity.,1,microglia innate immune cell type central nervous system,physiological function microglia normal cns begin development persist maturity,microglia innate immune cell type central nervous system physiological function microglia normal cns begin development persist maturity
Microglia are an innate immune cell type of the central nervous system.,"Here, we develop a conceptual framework for functions of microglia beyond neuroinflammation and discuss the rich repertoire of signaling and communication motifs in microglia that are critical both in pathology and for the normal physiology of the CNS.",1,microglia innate immune cell type central nervous system,develop conceptual framework function microglia beyond neuroinflammation discus rich repertoire signaling communication motif microglia critical pathology normal physiology cns,microglia innate immune cell type central nervous system develop conceptual framework function microglia beyond neuroinflammation discus rich repertoire signaling communication motif microglia critical pathology normal physiology cns
Microglia are an innate immune cell type of the peripheral nervous system.,These physiological functions of microglia in the normal CNS begin during development and persist into maturity.,0,microglia innate immune cell type peripheral nervous system,physiological function microglia normal cns begin development persist maturity,microglia innate immune cell type peripheral nervous system physiological function microglia normal cns begin development persist maturity
